id,text,favorites,retweets,date,tweet_datetime,date_part,time_part,hour,year,month,text_topic_modelling,text_EDA,text_sentiment_analysis,text_LSTM,60mins_price_diff_abs,60mins_price_diff_perc,45mins_price_diff_abs,45mins_price_diff_perc,30mins_price_diff_abs,30mins_price_diff_perc,15mins_price_diff_abs,15mins_price_diff_perc
1.06002e+18,Tremendous success tonight. Thank you to all!,219676,40473,2018-07-11 04:14:00,2018-07-11 12:14:00,2018-07-11,12:14:00,12,2018,7,tremendous success tonight thank,Tremendous success tonight. Thank you to all!,Tremendous success tonight. Thank you to all!,tremendous success tonight thank you to all,0.03499999999996817,0.00012638801119425175,0.1150000000000091,0.00041527489392438057,0.3149999999999977,0.001137492100749292,0.15469999999999118,0.0005586350094790689
1.0597e+18,"A fantastic evening in Cape Girardeau, Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/YPB8nqX2d6",39743,9510,2018-06-11 06:36:00,2018-06-11 14:36:00,2018-06-11,14:36:00,14,2018,6,fantastic evening cape girardeau missouri josh tireless champion great job great tax cut tough crime share value always support military vet police get tomorrow vote josh,"A fantastic evening in Cape Girardeau, Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/YPB8nqX2d6","A fantastic evening in Cape Girardeau, Missouri. Josh will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!!",a fantastic evening in cape girardeau missouri josh will be a tireless champion for you he is great on job great on tax cut and tough on crime he share your value and he will always support our military vet and police get out tomorrow and vote for josh,0.19360000000000355,0.0006939655110611634,0.15359999999998308,0.0005505842071228357,0.1735999999999649,0.0006222748590918977,0.013599999999996726,4.874964333899472e-05
1.05967e+18,"A vote for Claire McCaskill is a vote for Schumer, Pelosi, Waters, and their socialist agenda. Claire voted IN FAVOR of deadly Sanctuary Cities - she would rather protect criminal aliens than American citizens, which is why she needs to be voted out of office. Vote @HawleyMO! https://t.co/tn2zsEWQJ5",37937,10203,2018-06-11 05:12:00,2018-06-11 13:12:00,2018-06-11,13:12:00,13,2018,6,vote claire mccaskill vote schumer pelosi water socialist agenda claire voted favor deadly sanctuary city would rather protect criminal alien american citizen need voted office vote,"A vote for Claire McCaskill is a vote for Schumer, Pelosi, Waters, and their socialist agenda. Claire voted IN FAVOR of deadly Sanctuary Cities - she would rather protect criminal aliens than American citizens, which is why she needs to be voted out of office. Vote @HawleyMO! https://t.co/tn2zsEWQJ5","A vote for Claire McCaskill is a vote for Schumer, Pelosi, Waters, and their socialist agenda. Claire voted IN FAVOR of deadly Sanctuary Cities - she would rather protect criminal aliens than American citizens, which is why she needs to be voted out of office. Vote !",a vote for claire mccaskill is a vote for schumer pelosi water and their socialist agenda claire voted in favor of deadly sanctuary city she would rather protect criminal alien than american citizen which is why she need to be voted out of office vote,-0.339999999999975,-0.0012172854534387419,-0.26139999999998054,-0.0009358776986143731,-0.06999999999999318,-0.0002506175933550291,-0.05900000000002592,-0.00021123482868506648
1.05967e+18,"A fantastic evening in Girardeau, Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/8zgyv5x2A6",11725,3719,2018-06-11 05:05:00,2018-06-11 13:05:00,2018-06-11,13:05:00,13,2018,6,fantastic evening girardeau missouri josh tireless champion great job great tax cut tough crime share value always support military vet police get tomorrow vote josh,"A fantastic evening in Girardeau, Missouri. Josh @HawleyMO will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!! https://t.co/8zgyv5x2A6","A fantastic evening in Girardeau, Missouri. Josh will be a tireless champion for YOU. He is great on jobs, great on tax cuts, and tough on crime. He shares your values, and he will always support our Military, Vets and Police! Get out tomorrow and VOTE for Josh!!",a fantastic evening in girardeau missouri josh will be a tireless champion for you he is great on job great on tax cut and tough on crime he share your value and he will always support our military vet and police get out tomorrow and vote for josh,-0.1198999999999728,-0.0004295181801897647,0.0,0.0,0.060000000000002274,0.0002149382052659942,0.12270000000000891,0.0004395486297689734
1.05963e+18,"You have been loyal and faithful to your Country, and now you have a President that is loyal and faithful to you. Get out tomorrow, and https://t.co/HfihPERFgZ! https://t.co/Fr6HlmA7y6",52768,15284,2018-06-11 02:14:00,2018-06-11 10:14:00,2018-06-11,10:14:00,10,2018,6,loyal faithful country president loyal faithful get tomorrow,"You have been loyal and faithful to your Country, and now you have a President that is loyal and faithful to you. Get out tomorrow, and https://t.co/HfihPERFgZ! https://t.co/Fr6HlmA7y6","You have been loyal and faithful to your Country, and now you have a President that is loyal and faithful to you. Get out tomorrow, and !",you have been loyal and faithful to your country and now you have a president that is loyal and faithful to you get out tomorrow and,-0.29000000000002046,-0.0010403587443946923,-0.18999999999999773,-0.0006816143497757766,-0.18000000000000682,-0.0006457399103139258,-0.029999999999972715,-0.00010762331838555235
1.05962e+18,"On my way, see you soon Cape Girardeau, Missouri! #MAGARally https://t.co/0pWiwCHGbh https://t.co/XZdgktuTmL",40187,8643,2018-06-11 01:47:00,2018-06-11 09:47:00,2018-06-11,09:47:00,9,2018,6,way see soon cape girardeau missouri,"On my way, see you soon Cape Girardeau, Missouri! #MAGARally https://t.co/0pWiwCHGbh https://t.co/XZdgktuTmL","On my way, see you soon Cape Girardeau, Missouri!",on my way see you soon cape girardeau missouri,0.07999999999998408,0.00028719126938535355,0.12999999999999545,0.00046668581275127605,0.08999999999997499,0.00032309017805849725,-0.040000000000020464,-0.0001435956346927788
1.05962e+18,"Massive crowd inside and outside the Allen County War Memorial Coliseum in Fort Wayne, Indiana! Thank you for joining us tonight - and make sure you get out and https://t.co/0pWiwCHGbh tomorrow! https://t.co/8APMivyM0x",51639,12870,2018-06-11 01:26:00,2018-06-11 09:26:00,2018-06-11,09:26:00,9,2018,6,massive crowd inside outside allen county war memorial coliseum fort wayne indiana thank joining u tonight make sure get tomorrow,"Massive crowd inside and outside the Allen County War Memorial Coliseum in Fort Wayne, Indiana! Thank you for joining us tonight - and make sure you get out and https://t.co/0pWiwCHGbh tomorrow! https://t.co/8APMivyM0x","Massive crowd inside and outside the Allen County War Memorial Coliseum in Fort Wayne, Indiana! Thank you for joining us tonight - and make sure you get out and tomorrow!",massive crowd inside and outside the allen county war memorial coliseum in fort wayne indiana thank you for joining u tonight and make sure you get out and tomorrow,0.36000000000001364,0.0012931963503125714,0.25,0.0008980530210503628,0.13999999999998636,0.0005029096917881542,0.22000000000002728,0.0007902866585244172
1.05961e+18,There is only one way to stop this Democrat-Led assault on our sovereignty – you have to VOTE Republican TOMORROW! Polling locations: https://t.co/0pWiwCHGbh https://t.co/ggs0zcXaQu,37001,10351,2018-06-11 01:05:00,2018-06-11 09:05:00,2018-06-11,09:05:00,9,2018,6,one way stop democratled assault sovereignty vote republican tomorrow polling location,There is only one way to stop this Democrat-Led assault on our sovereignty – you have to VOTE Republican TOMORROW! Polling locations: https://t.co/0pWiwCHGbh https://t.co/ggs0zcXaQu,There is only one way to stop this Democrat-Led assault on our sovereignty – you have to VOTE Republican TOMORROW! Polling locations:,there is only one way to stop this democratled assault on our sovereignty you have to vote republican tomorrow polling location,0.18849999999997635,0.0006774970348272161,0.3949999999999818,0.0014196887467202738,0.2400000000000091,0.000862595694209859,0.13999999999998636,0.0005031808216223497
1.05961e+18,"Thank you Indiana! A vote for Mike @Braun4Indiana is a vote to keep your jobs going up, your wages going up, and your healthcare costs coming down. It’s a vote to keep your families safe &amp, to keep criminals, traffickers &amp, drug dealers OUT of our Country! Get out and for for Mike! https://t.co/3AE7WcHZej",32000,7859,2018-06-11 01:02:00,2018-06-11 09:02:00,2018-06-11,09:02:00,9,2018,6,thank indiana vote mike vote keep job going wage going healthcare cost coming vote keep family safe amp keep criminal trafficker amp drug dealer country get mike,"Thank you Indiana! A vote for Mike @Braun4Indiana is a vote to keep your jobs going up, your wages going up, and your healthcare costs coming down. It’s a vote to keep your families safe &amp, to keep criminals, traffickers &amp, drug dealers OUT of our Country! Get out and for for Mike! https://t.co/3AE7WcHZej","Thank you Indiana! A vote for Mike is a vote to keep your jobs going up, your wages going up, and your healthcare costs coming down. It’s a vote to keep your families safe &amp, to keep criminals, traffickers &amp, drug dealers OUT of our Country! Get out and for for Mike!",thank you indiana a vote for mike is a vote to keep your job going up your wage going up and your healthcare cost coming down it s a vote to keep your family safe amp to keep criminal trafficker amp drug dealer out of our country get out and for for mike,0.3299999999999841,0.0011862396204032643,0.37000000000000455,0.001330026241058286,0.13999999999998636,0.0005032531722922692,0.19999999999998863,0.0007189331032746994
1.05957e+18,"Just landed in Fort Wayne, Indiana for a #MAGARally at the Allen County War Memorial Coliseum. See everyone soon! https://t.co/0pWiwCHGbh",33678,7311,2018-05-11 22:28:00,2018-05-12 06:28:00,2018-05-12,06:28:00,6,2018,5,landed fort wayne indiana allen county war memorial coliseum see everyone soon,"Just landed in Fort Wayne, Indiana for a #MAGARally at the Allen County War Memorial Coliseum. See everyone soon! https://t.co/0pWiwCHGbh","Just landed in Fort Wayne, Indiana for a at the Allen County War Memorial Coliseum. See everyone soon!",just landed in fort wayne indiana for a at the allen county war memorial coliseum see everyone soon,0.007678571428527903,2.8133811035107627e-05,0.005758928571424349,2.1100358276434854e-05,0.0038392857142639514,1.4066905517553813e-05,0.001919642857103554,7.033452758672772e-06
